dist_id,district,adm,charter_status,ed_adm,ed_pct,high_pov_1,high_pov_2,el_adm,swd_total,swd_aut,swd_dd,swd_ed,swd_hi,swd_id,swd_md,swd_ohi,swd_oi,swd_sld,swd_sli,swd_tbi,swd_vi,swd_db,aig_enroll,sq_mi,current_pp,sparsity_23,el_pct,current_total
55A,Lincoln Charter School,2251,Charter,584.118,0.261,0,0,17,211,13,6,1,2,6,0,36,2,79,64,1,1,0,0,NA,7148.68,0,0.007552199022656597,16091678.680000002
55B,West Lake Preparatory Academy,357,Charter,173.01600000000002,0.48600000000000004,0,1,9,51,9,4,0,1,4,0,2,0,16,15,0,0,0,64,NA,7510.73,0,0.025210084033613446,2681330.61
58B,Bear Grass Charter School,438,Charter,149.21,0.34700000000000003,0,0,0,37,5,0,2,0,1,0,6,0,21,2,0,0,0,0,NA,9429.34,0,0,4130050.92
60B,Sugar Creek Charter,1499,Charter,943.326,0.647,0,1,112,142,16,2,1,1,15,0,33,0,62,12,0,0,0,0,NA,7464.18,0,0.07471647765176785,11188805.82
60D,Lake Norman Charter,2206,Charter,169.477,0.077,0,0,24,148,9,5,0,2,1,2,39,0,44,45,0,1,0,0,NA,6828.23,0,0.010879419764279238,15063075.379999999
60F,Metrolina Regional Scholars Academy,398,Charter,15.92,0.04,0,0,9,11,0,0,0,0,0,0,2,0,0,9,0,0,0,0,NA,6559.79,0,0.022613065326633167,2610796.42
60G,Queen's Grant Community School,1314,Charter,573.76,0.44,0,1,78,167,27,6,0,3,9,1,39,0,61,19,2,0,0,0,NA,7149.09,0,0.0593607305936073,9393904.26
60I,Community School of Davidson,1559,Charter,215.728,0.139,0,0,10,231,26,7,0,2,6,0,50,0,91,49,0,0,0,0,NA,7437.96,0,0.006414368184733804,11595779.64
60J,Socrates Academy,945,Charter,151.04,0.16,0,0,40,79,10,7,4,0,1,1,18,0,21,17,0,0,0,140,NA,6876.26,0,0.042328042328042326,6498065.7
60K,Charlotte Secondary School,166,Charter,87.98,0.53,0,1,22,41,5,0,1,0,4,0,9,0,21,1,0,0,0,0,NA,8380.25,0,0.13253012048192772,1391121.5
60L,KIPP: Charlotte,883,Charter,663.047,0.763,0,1,47,109,10,3,2,0,9,0,17,0,50,18,0,0,0,0,NA,7494.75,0,0.053227633069082674,6617864.25
60M,Corvian Community School,1259,Charter,211.926,0.16899999999999998,0,0,19,123,12,7,1,0,11,1,20,0,58,13,0,0,0,0,NA,7033.46,0,0.015091342335186657,8855126.14
60N,Aristotle Preparatory Academy,121,Charter,119.03999999999999,0.96,1,0,9,10,1,1,0,0,2,0,1,0,2,3,0,0,0,0,NA,8298.54,0,0.0743801652892562,1004123.3400000001
60S,Bradford Preparatory School,1519,Charter,346.84000000000003,0.23,0,0,22,144,15,13,2,4,13,2,24,0,49,21,1,0,0,0,NA,6988.51,0,0.014483212639894667,10615546.69
60U,Commonwealth High School,346,Charter,245.95200000000003,0.5760000000000001,0,1,38,28,1,0,1,0,3,0,8,0,15,0,0,0,0,0,NA,7798.22,0,0.10982658959537572,2698184.12
60Y,Pioneer Springs Community School,554,Charter,170.19,0.31,0,0,9,124,21,1,3,1,4,2,39,0,42,10,1,0,0,0,NA,7527.73,0,0.016245487364620937,4170362.42
61J,Lakeside Charter Academy,256,Charter,95.88200000000002,0.38200000000000006,0,0,19,39,4,4,0,0,1,0,9,0,16,4,1,0,0,0,NA,8063.67,0,0.07421875,2064299.52
61K,United Community School,241,Charter,120.904,0.508,0,1,20,50,17,4,0,0,1,0,2,1,17,7,1,0,0,0,NA,8058.27,0,0.08298755186721991,1942043.07
61L,Stewart Creek High School,338,Charter,242.056,0.632,0,1,25,45,2,0,2,0,2,0,17,0,22,0,0,0,0,0,NA,8151.54,0,0.07396449704142012,2755220.52
61M,Charlotte Lab School,968,Charter,414.786,0.438,0,1,25,99,23,4,2,0,3,1,16,0,40,10,0,0,0,0,NA,7427.59,0,0.025826446280991736,7189907.12
61N,Queen City STEM School,677,Charter,257.843,0.401,0,1,112,49,9,5,0,0,1,0,7,0,16,11,0,0,0,0,NA,7714.35,0,0.1654357459379616,5222614.95
61P,VERITAS Community School,150,Charter,117.078,0.741,0,1,9,21,1,2,1,0,0,0,3,0,11,3,0,0,0,0,NA,7091.14,0,0.06,1063671
61Q,Mallard Creek STEM Academy,938,Charter,458.23400000000004,0.49700000000000005,0,1,47,82,6,3,0,0,0,1,9,0,45,18,0,0,0,0,NA,7204.78,0,0.050106609808102345,6758083.64
61R,Matthews Charter Academy,761,Charter,421.31100000000004,0.561,0,1,82,82,16,3,0,0,2,1,17,0,32,11,0,0,0,0,NA,7378.21,0,0.10775295663600526,5614817.81
61S,Unity Classical Charter School,737,Charter,230.142,0.317,0,0,9,49,11,4,0,0,0,0,6,0,21,7,0,0,0,0,NA,7005.78,0,0.012211668928086838,5163259.859999999
61T,Movement Charter School,718,Charter,549.664,0.772,0,1,12,69,18,10,0,0,9,0,10,0,14,6,2,0,0,0,NA,7178.84,0,0.016713091922005572,5154407.12
61V,Bonnie Cone Classical Academy,527,Charter,268.243,0.509,0,1,28,44,13,3,0,0,1,0,7,0,14,6,0,0,0,17,NA,7195.65,0,0.05313092979127135,3792107.55
61W,East Voyager Academy,162,Charter,118.06400000000001,0.752,0,1,9,10,0,0,0,0,0,0,4,0,4,2,0,0,0,18,NA,7814.31,0,0.05555555555555555,1265918.22
61X,Jackson Day School,890,Charter,274.436,0.314,0,0,9,100,8,5,0,1,0,0,23,0,42,21,0,0,0,0,NA,7163.34,0,0.010112359550561797,6375372.600000001
61Y,Steele Creek Preparatory Academy,371,Charter,307.913,0.8390000000000001,1,0,31,30,3,2,3,0,0,0,4,0,13,5,0,0,0,0,NA,7705.03,0,0.08355795148247978,2858566.13
62A,Tillery Charter Academy,211,Charter,131,0.655,0,1,0,27,3,2,2,0,0,0,3,0,8,9,0,0,0,0,NA,9040.47,0,0,1907539.17
62J,Southwest Charlotte STEM Academy,815,Charter,327.156,0.41100000000000003,0,1,39,72,4,4,0,0,3,1,7,0,34,19,0,0,0,0,NA,7165.9,0,0.04785276073619632,5840208.5
62K,Movement School Eastland,474,Charter,303.92,0.655,0,1,22,54,15,10,0,0,7,0,14,0,7,1,0,0,0,0,NA,7422.91,0,0.046413502109704644,3518459.34
62L,Telra Institute,529,Charter,38.92400000000001,0.07400000000000001,0,0,0,27,4,2,0,0,0,0,8,0,8,5,0,0,0,0,NA,6936.2,0,0,3669249.8
62M,Bonnie Cone Leadership Academy,1028,Charter,346.79699999999997,0.33899999999999997,0,0,0,104,15,6,1,0,4,1,16,0,44,17,0,0,0,0,NA,7198.32,0,0,7399872.96
62N,Aspire Trade High School,184,Charter,90.05199999999999,0.479,0,1,0,51,13,0,3,0,1,0,14,0,20,0,0,0,0,0,NA,7724.78,0,0,1421359.52
62P,Movement School Southwest,207,Charter,137.08800000000002,0.672,0,1,0,19,4,7,0,0,1,0,3,0,1,2,1,0,0,0,NA,7563.87,0,0,1565721.09
62R,Movement School Northwest,105,Charter,68.013,0.687,0,1,0,11,5,4,0,0,0,0,0,0,0,2,0,0,0,0,NA,7184.15,0,0,754335.75
63A,The Academy of Moore County,461,Charter,131.823,0.29100000000000004,0,0,0,37,7,3,0,0,0,0,2,0,4,21,0,0,0,0,NA,7598.21,0,0,3502774.81
63B,Sandhills Theatre Arts Renaiss,862,Charter,217.344,0.256,0,0,0,88,17,2,0,2,6,2,18,0,21,20,0,0,0,0,NA,7298.52,0,0,6291324.24
63C,Moore Montessori Community School,228,Charter,71.1,0.316,0,0,0,33,6,2,0,1,1,1,6,0,7,9,0,0,0,0,NA,7548.4,0,0,1721035.2
64A,Rocky Mount Preparatory,841,Charter,645.0120000000001,0.779,0,1,23,88,7,3,0,0,18,2,8,0,37,13,0,0,0,0,NA,8037.01,0,0.027348394768133173,6759125.41
65A,Cape Fear Center for Inquiry,402,Charter,108.138,0.269,0,0,9,56,8,2,1,0,3,0,14,0,17,11,0,0,0,0,NA,7574.19,0,0.022388059701492536,3044824.38
65B,Wilmington Preparatory Academy,92,Charter,71.01,0.789,0,1,0,15,0,1,0,0,0,0,5,0,6,3,0,0,0,0,NA,7401.88,0,0,680972.96
65C,Classical Charter Schools of Wilmington,135,Charter,94.975,0.725,0,1,9,25,4,1,2,0,1,0,2,0,6,8,0,1,0,0,NA,7463.16,0,0.06666666666666667,1007526.6
65D,Island Montessori Charter,214,Charter,53.072,0.24800000000000003,0,0,9,32,5,0,0,0,0,0,5,0,18,4,0,0,0,0,NA,7792.58,0,0.04205607476635514,1667612.1199999999
65F,American Leadership Academy-Coastal,853,Charter,247.61599999999999,0.292,0,0,9,90,9,5,0,0,3,0,31,0,31,11,0,0,0,24,NA,6923.23,0,0.010550996483001172,5905515.1899999995
65G,Girls Leadership Academy of Wilmington,330,Charter,171.072,0.528,0,1,13,55,6,0,0,0,5,2,11,0,26,2,3,0,0,0,NA,8048.9,0,0.03939393939393939,2656137
65H,Wilmington School of the Arts,220,Charter,118.03500000000001,0.549,0,1,0,44,8,6,1,0,1,1,10,0,9,8,0,0,0,0,NA,7819.73,0,0,1720340.5999999999
66A,KIPP Gaston College Preparatory,1150,Charter,818.3349999999999,0.721,0,1,32,115,9,4,4,1,21,0,20,1,41,14,0,0,0,0,NA,12430.05,0,0.02782608695652174,14294557.5
67B,Z.E.C.A. School of Arts and Technology,103,Charter,82.012,0.812,1,0,0,16,1,0,0,0,2,0,6,0,7,0,0,0,0,0,NA,8121.08,0,0,836471.24
68A,Eno River Academy,797,Charter,102.039,0.129,0,0,9,95,15,3,1,2,2,0,30,0,31,11,0,0,0,0,NA,7484.81,0,0.011292346298619825,5965393.57
68C,The Expedition School,360,Charter,36,0.1,0,0,9,46,13,0,0,0,0,0,17,0,14,2,0,0,0,0,NA,7729.84,0,0.025,2782742.4
69A,Arapahoe Charter School,466,Charter,327.157,0.6829999999999999,0,1,9,102,27,1,1,0,16,1,11,0,30,13,1,1,0,0,NA,11330.46,0,0.019313304721030045,5279994.359999999
70A,Northeast Academy of Aerospace & AdvTech,745,Charter,319.725,0.435,0,1,9,93,17,0,4,0,1,0,23,0,37,11,0,0,0,0,NA,8796.74,0,0.012080536912751677,6553571.3
73A,Bethel Hill Charter,349,Charter,190.15599999999998,0.5479999999999999,0,1,9,33,1,3,1,1,3,0,2,0,1,21,0,0,0,0,NA,8203.15,0,0.025787965616045846,2862899.35
73B,Roxboro Community School,700,Charter,207.29999999999998,0.3,0,0,9,37,3,0,0,1,5,1,7,0,17,2,0,1,0,209,NA,7878.5,0,0.012857142857142857,5514950
74C,Winterville Charter Academy,587,Charter,409.83600000000007,0.7140000000000001,0,1,24,82,17,5,5,0,4,1,12,0,23,14,0,1,0,0,NA,8143.15,0,0.04088586030664395,4780029.05
76A,Uwharrie Charter Academy,2093,Charter,763.232,0.368,0,0,9,246,38,3,2,1,15,0,83,1,77,25,1,0,0,153,NA,7975.97,0,0.004300047778308648,16693705.21
78A,CIS Academy,110,Charter,70.95,0.645,0,1,0,21,0,0,0,0,3,0,5,0,10,3,0,0,0,0,NA,9748.74,0,0,1072361.4
78B,Southeastern Academy,215,Charter,59.98499999999999,0.27899999999999997,0,0,0,22,0,0,0,0,0,0,6,0,10,6,0,0,0,0,NA,8774.11,0,0,1886433.6500000001
78C,Old Main Stream,338,Charter,182.91000000000003,0.546,0,1,0,44,0,5,0,0,0,0,2,0,2,35,0,0,0,0,NA,8514.39,0,0,2877863.82
79A,Bethany Community School,603,Charter,220.286,0.374,0,0,9,81,6,0,2,0,1,0,30,0,42,0,0,0,0,0,NA,8375.69,0,0.014925373134328358,5050541.07
79C,Legacy Classical,119,Charter,65.94500000000001,0.545,0,1,0,7,1,0,0,0,1,0,1,0,0,4,0,0,0,0,NA,7752.62,0,0,922561.78
80C,Faith Academy,773,Charter,391.68,0.51,0,1,0,91,10,2,0,0,3,0,20,0,35,21,0,0,0,0,NA,7606.92,0,0,5880149.16
81A,Thomas Jefferson Classical Academy,1389,Charter,516.624,0.376,0,0,19,136,13,5,2,0,2,0,31,0,57,26,0,0,0,0,NA,8123.77,0,0.013678905687544997,11283916.530000001
81B,Lake Lure Classical Academy,440,Charter,256.176,0.593,0,1,9,83,8,0,1,0,1,0,9,0,32,31,0,1,0,48,NA,8570.1,0,0.020454545454545454,3770844
84B,Gray Stone Day School,751,Charter,110.856,0.149,0,0,9,20,5,0,0,0,0,0,6,0,8,1,0,0,0,0,NA,7412.23,0,0.011984021304926764,5566584.7299999995
86T,Millennium Charter Academy,650,Charter,232.76600000000002,0.36200000000000004,0,0,19,103,8,1,0,0,11,0,7,0,48,28,0,0,0,0,NA,8575.63,0,0.02923076923076923,5574159.499999999
87A,Mountain Discovery Charter School,189,Charter,127.00800000000001,0.672,0,1,0,42,2,8,1,0,2,0,11,0,10,8,0,0,0,0,NA,9906.09,0,0,1872251.01
88A,Brevard Academy,407,Charter,136.822,0.337,0,0,12,71,6,4,1,0,2,0,14,0,14,29,1,0,0,0,NA,8644.3,0,0.029484029484029485,3518230.0999999996
90A,Union Academy Charter School,2173,Charter,495.78499999999997,0.22899999999999998,0,0,38,229,27,6,2,1,7,0,73,3,92,17,0,1,0,0,NA,7017.23,0,0.017487344684767602,15248440.79
90B,Union Day School,645,Charter,140.11400000000003,0.22100000000000003,0,0,22,59,5,2,0,0,1,0,12,0,26,11,0,2,0,0,NA,7111.52,0,0.034108527131782945,4586930.4
90C,Union Preparatory Academy at Indian Trai,1158,Charter,510.779,0.443,0,1,83,118,17,3,2,1,4,1,18,0,49,22,1,0,0,178,NA,6963.94,0,0.07167530224525043,8064242.52
90D,Monroe Charter Academy,154,Charter,102.051,0.667,0,1,9,27,2,4,0,0,1,0,0,0,13,7,0,0,0,0,NA,7994.69,0,0.05844155844155844,1231182.26
90F,Apprentice Academy HS of NC,213,Charter,95.00399999999999,0.46799999999999997,0,1,9,46,4,0,2,0,3,0,17,0,20,0,0,0,0,0,NA,7839.81,0,0.04225352112676056,1669879.53
91A,Vance Charter School,944,Charter,339.701,0.36100000000000004,0,0,11,98,9,3,2,3,5,2,20,2,34,18,0,0,0,0,NA,9061.9,0,0.011652542372881356,8554433.6
91B,Henderson Collegiate,1277,Charter,877.9440000000001,0.6990000000000001,0,1,93,83,7,2,1,0,12,0,13,0,42,6,0,0,0,0,NA,9376.4,0,0.07282693813625685,11973662.799999999
92B,The Exploris School,440,Charter,113.004,0.258,0,0,9,80,16,3,0,0,0,0,25,0,24,10,1,1,0,0,NA,7369.63,0,0.020454545454545454,3242637.2
92D,Magellan Charter,409,Charter,16.36,0.04,0,0,9,40,6,0,0,0,0,0,15,0,14,5,0,0,0,0,NA,6976.58,0,0.022004889975550123,2853421.2199999997
92E,Sterling Montessori Academy,627,Charter,59.803,0.079,0,0,9,76,18,3,2,1,1,0,13,0,24,13,0,1,0,0,NA,7174.04,0,0.014354066985645933,4498123.08
92F,Franklin Academy,1639,Charter,150.328,0.092,0,0,9,78,13,1,0,0,1,0,22,0,11,28,0,2,0,0,NA,6714.94,0,0.005491153142159854,11005786.66
92G,East Wake Academy,1231,Charter,242.55,0.198,0,0,25,113,22,3,2,0,6,0,19,0,46,14,1,0,0,48,NA,7133.47,0,0.020308692120227456,8781301.57
92K,Raleigh Charter High School,554,Charter,35.2,0.064,0,0,9,17,2,0,1,0,0,0,9,1,4,0,0,0,0,0,NA,6670.88,0,0.016245487364620937,3695667.52
92M,PreEminent Charter School,690,Charter,598.199,0.881,1,0,98,100,19,10,3,1,9,0,17,0,30,11,0,0,0,0,NA,7679.04,0,0.14202898550724638,5298537.6
92N,Quest Academy,144,Charter,5.76,0.04,0,0,0,16,0,0,0,0,0,0,9,0,4,3,0,0,0,0,NA,6844.92,0,0,985668.48
92P,Southern Wake Academy,537,Charter,125.188,0.23800000000000002,0,0,12,130,29,0,0,1,5,0,52,0,42,0,1,0,0,56,NA,7871.08,0,0.0223463687150838,4226769.96
92R,Casa Esperanza Montessori,641,Charter,208.971,0.321,0,0,65,62,4,7,0,0,1,0,8,0,25,16,1,0,0,0,NA,7426.56,0,0.10140405616224649,4760424.96
